,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
0,"Cutting $γ$-Liouville quantum gravity by Schramm-Loewner evolution for $κ\not\in \{γ^2, 16/γ^2\}$",http://arxiv.org/pdf/2310.11455v1,"[arxiv.Result.Author('Morris Ang'), arxiv.Result.Author('Ewain Gwynne')]",,2023-10-17 17:59:54+00:00,"There are many deep and useful theorems relating Schramm-Loewner evolution
(SLE$_\kappa$) and Liouville quantum gravity ($\gamma$-LQG) in the case when
the parameters satisfy $\kappa \in \{\gamma^2, 16/\gamma^2\}$. Roughly
speaking, these theorems say that the SLE$_\kappa$ curve cuts the $\gamma$-LQG
surface into two or more independent $\gamma$-LQG surfaces. We extend these
theorems to the case when $\kappa \not\in \{\gamma^2, 16/\gamma^2\}$. Roughly
speaking we show that if we have an appropriate variant of SLE$_\kappa$ and an
independent $\gamma$-LQG disk, then the SLE curve cuts the LQG disk into two or
more $\gamma$-LQG surfaces which are conditionally independent given the values
along the SLE curve of a certain collection of auxiliary imaginary geometry
fields, viewed modulo conformal coordinate change. These fields are sampled
independently from the SLE and the LQG and have the property that that the sum
of the central charges associated with the SLE$_\kappa$ curve, the $\gamma$-LQG
surface, and the auxiliary fields is 26. This condition on the central charge
is natural from the perspective of bosonic string theory. We also prove
analogous statements when the SLE curve is replaced by, e.g., an LQG metric
ball or a Brownian motion path. Statements of this type were conjectured by
Sheffield and are continuum analogs of certain Markov properties of random
planar maps decorated by two or more statistical physics models. We include a
substantial list of open problems.",,math.PR,"['math.PR', 'math-ph', 'math.MP']",http://arxiv.org/abs/2310.11455v1
1,VeRA: Vector-based Random Matrix Adaptation,http://arxiv.org/pdf/2310.11454v1,"[arxiv.Result.Author('Dawid Jan Kopiczko'), arxiv.Result.Author('Tijmen Blankevoort'), arxiv.Result.Author('Yuki Markus Asano')]",,2023-10-17 17:59:46+00:00,"Low-rank adapation (LoRA) is a popular method that reduces the number of
trainable parameters when finetuning large language models, but still faces
acute storage challenges when scaling to even larger models or deploying
numerous per-user or per-task adapted models. In this work, we present
Vector-based Random Matrix Adaptation (VeRA), which reduces the number of
trainable parameters by 10x compared to LoRA, yet maintains the same
performance. It achieves this by using a single pair of low-rank matrices
shared across all layers and learning small scaling vectors instead. We
demonstrate its effectiveness on the GLUE and E2E benchmarks, and show its
application in instruction-following with just 1.4M parameters using the Llama2
7B model.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2310.11454v1
2,BitNet: Scaling 1-bit Transformers for Large Language Models,http://arxiv.org/pdf/2310.11453v1,"[arxiv.Result.Author('Hongyu Wang'), arxiv.Result.Author('Shuming Ma'), arxiv.Result.Author('Li Dong'), arxiv.Result.Author('Shaohan Huang'), arxiv.Result.Author('Huaijie Wang'), arxiv.Result.Author('Lingxiao Ma'), arxiv.Result.Author('Fan Yang'), arxiv.Result.Author('Ruiping Wang'), arxiv.Result.Author('Yi Wu'), arxiv.Result.Author('Furu Wei')]",,2023-10-17 17:59:15+00:00,"The increasing size of large language models has posed challenges for
deployment and raised concerns about environmental impact due to high energy
consumption. In this work, we introduce BitNet, a scalable and stable 1-bit
Transformer architecture designed for large language models. Specifically, we
introduce BitLinear as a drop-in replacement of the nn.Linear layer in order to
train 1-bit weights from scratch. Experimental results on language modeling
show that BitNet achieves competitive performance while substantially reducing
memory footprint and energy consumption, compared to state-of-the-art 8-bit
quantization methods and FP16 Transformer baselines. Furthermore, BitNet
exhibits a scaling law akin to full-precision Transformers, suggesting its
potential for effective scaling to even larger language models while
maintaining efficiency and performance benefits.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2310.11453v1
3,Seeking Neural Nuggets: Knowledge Transfer in Large Language Models from a Parametric Perspective,http://arxiv.org/pdf/2310.11451v1,"[arxiv.Result.Author('Ming Zhong'), arxiv.Result.Author('Chenxin An'), arxiv.Result.Author('Weizhu Chen'), arxiv.Result.Author('Jiawei Han'), arxiv.Result.Author('Pengcheng He')]",,2023-10-17 17:58:34+00:00,"Large Language Models (LLMs) inherently encode a wealth of knowledge within
their parameters through pre-training on extensive corpora. While prior
research has delved into operations on these parameters to manipulate the
underlying implicit knowledge (encompassing detection, editing, and merging),
there remains an ambiguous understanding regarding their transferability across
models with varying scales. In this paper, we seek to empirically investigate
knowledge transfer from larger to smaller models through a parametric
perspective. To achieve this, we employ sensitivity-based techniques to extract
and align knowledge-specific parameters between different LLMs. Moreover, the
LoRA module is used as the intermediary mechanism for injecting the extracted
knowledge into smaller models. Evaluations across four benchmarks validate the
efficacy of our proposed method. Our findings highlight the critical factors
contributing to the process of parametric knowledge transfer, underscoring the
transferability of model parameters across LLMs of different scales. We release
code and data at \url{https://github.com/maszhongming/ParaKnowTransfer}.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2310.11451v1
4,4K4D: Real-Time 4D View Synthesis at 4K Resolution,http://arxiv.org/pdf/2310.11448v1,"[arxiv.Result.Author('Zhen Xu'), arxiv.Result.Author('Sida Peng'), arxiv.Result.Author('Haotong Lin'), arxiv.Result.Author('Guangzhao He'), arxiv.Result.Author('Jiaming Sun'), arxiv.Result.Author('Yujun Shen'), arxiv.Result.Author('Hujun Bao'), arxiv.Result.Author('Xiaowei Zhou')]",,2023-10-17 17:57:38+00:00,"This paper targets high-fidelity and real-time view synthesis of dynamic 3D
scenes at 4K resolution. Recently, some methods on dynamic view synthesis have
shown impressive rendering quality. However, their speed is still limited when
rendering high-resolution images. To overcome this problem, we propose 4K4D, a
4D point cloud representation that supports hardware rasterization and enables
unprecedented rendering speed. Our representation is built on a 4D feature grid
so that the points are naturally regularized and can be robustly optimized. In
addition, we design a novel hybrid appearance model that significantly boosts
the rendering quality while preserving efficiency. Moreover, we develop a
differentiable depth peeling algorithm to effectively learn the proposed model
from RGB videos. Experiments show that our representation can be rendered at
over 400 FPS on the DNA-Rendering dataset at 1080p resolution and 80 FPS on the
ENeRF-Outdoor dataset at 4K resolution using an RTX 4090 GPU, which is 30x
faster than previous methods and achieves the state-of-the-art rendering
quality. We will release the code for reproducibility.",,cs.CV,['cs.CV'],http://arxiv.org/abs/2310.11448v1
5,Functional Invariants to Watermark Large Transformers,http://arxiv.org/pdf/2310.11446v1,"[arxiv.Result.Author('Fernandez Pierre'), arxiv.Result.Author('Couairon Guillaume'), arxiv.Result.Author('Furon Teddy'), arxiv.Result.Author('Douze Matthijs')]",,2023-10-17 17:56:18+00:00,"The rapid growth of transformer-based models increases the concerns about
their integrity and ownership insurance. Watermarking addresses this issue by
embedding a unique identifier into the model, while preserving its performance.
However, most existing approaches require to optimize the weights to imprint
the watermark signal, which is not suitable at scale due to the computational
cost. This paper explores watermarks with virtually no computational cost,
applicable to a non-blind white-box setting (assuming access to both the
original and watermarked networks). They generate functionally equivalent
copies by leveraging the models' invariance, via operations like dimension
permutations or scaling/unscaling. This enables to watermark models without any
change in their outputs and remains stealthy. Experiments demonstrate the
effectiveness of the approach and its robustness against various model
transformations (fine-tuning, quantization, pruning), making it a practical
solution to protect the integrity of large models.",,cs.CR,"['cs.CR', 'cs.AI', 'cs.CL']",http://arxiv.org/abs/2310.11446v1
6,"Trusted Provenance of Automated, Collaborative and Adaptive Data Processing Pipelines",http://arxiv.org/pdf/2310.11442v1,"[arxiv.Result.Author('Ludwig Stage'), arxiv.Result.Author('Dimka Karastoyanova')]",,2023-10-17 17:52:27+00:00,"To benefit from the abundance of data and the insights it brings data
processing pipelines are being used in many areas of research and development
in both industry and academia. One approach to automating data processing
pipelines is the workflow technology, as it also supports collaborative,
trial-and-error experimentation with the pipeline architecture in different
application domains. In addition to the necessary flexibility that such
pipelines need to possess, in collaborative settings cross-organisational
interactions are plagued by lack of trust. While capturing provenance
information related to the pipeline execution and the processed data is a first
step towards enabling trusted collaborations, the current solutions do not
allow for provenance of the change in the processing pipelines, where the
subject of change can be made on any aspect of the workflow implementing the
pipeline and on the data used while the pipeline is being executed. Therefore
in this work we provide a solution architecture and a proof of concept
implementation of a service, called Provenance Holder, which enable provenance
of collaborative, adaptive data processing pipelines in a trusted manner. We
also contribute a definition of a set of properties of such a service and
identify future research directions.",,cs.CR,['cs.CR'],http://arxiv.org/abs/2310.11442v1
7,Set-of-Mark Prompting Unleashes Extraordinary Visual Grounding in GPT-4V,http://arxiv.org/pdf/2310.11441v1,"[arxiv.Result.Author('Jianwei Yang'), arxiv.Result.Author('Hao Zhang'), arxiv.Result.Author('Feng Li'), arxiv.Result.Author('Xueyan Zou'), arxiv.Result.Author('Chunyuan Li'), arxiv.Result.Author('Jianfeng Gao')]",,2023-10-17 17:51:31+00:00,"We present Set-of-Mark (SoM), a new visual prompting method, to unleash the
visual grounding abilities of large multimodal models (LMMs), such as GPT-4V.
As illustrated in Fig. 1 (right), we employ off-the-shelf interactive
segmentation models, such as SAM, to partition an image into regions at
different levels of granularity, and overlay these regions with a set of marks
e.g., alphanumerics, masks, boxes. Using the marked image as input, GPT-4V can
answer the questions that require visual grounding. We perform a comprehensive
empirical study to validate the effectiveness of SoM on a wide range of
fine-grained vision and multimodal tasks. For example, our experiments show
that GPT-4V with SoM outperforms the state-of-the-art fully-finetuned referring
segmentation model on RefCOCOg in a zero-shot setting.",,cs.CV,"['cs.CV', 'cs.AI', 'cs.CL', 'cs.HC']",http://arxiv.org/abs/2310.11441v1
8,EvalCrafter: Benchmarking and Evaluating Large Video Generation Models,http://arxiv.org/pdf/2310.11440v1,"[arxiv.Result.Author('Yaofang Liu'), arxiv.Result.Author('Xiaodong Cun'), arxiv.Result.Author('Xuebo Liu'), arxiv.Result.Author('Xintao Wang'), arxiv.Result.Author('Yong Zhang'), arxiv.Result.Author('Haoxin Chen'), arxiv.Result.Author('Yang Liu'), arxiv.Result.Author('Tieyong Zeng'), arxiv.Result.Author('Raymond Chan'), arxiv.Result.Author('Ying Shan')]",,2023-10-17 17:50:46+00:00,"The vision and language generative models have been overgrown in recent
years. For video generation, various open-sourced models and public-available
services are released for generating high-visual quality videos. However, these
methods often use a few academic metrics, for example, FVD or IS, to evaluate
the performance. We argue that it is hard to judge the large conditional
generative models from the simple metrics since these models are often trained
on very large datasets with multi-aspect abilities. Thus, we propose a new
framework and pipeline to exhaustively evaluate the performance of the
generated videos. To achieve this, we first conduct a new prompt list for
text-to-video generation by analyzing the real-world prompt list with the help
of the large language model. Then, we evaluate the state-of-the-art video
generative models on our carefully designed benchmarks, in terms of visual
qualities, content qualities, motion qualities, and text-caption alignment with
around 18 objective metrics. To obtain the final leaderboard of the models, we
also fit a series of coefficients to align the objective metrics to the users'
opinions. Based on the proposed opinion alignment method, our final score shows
a higher correlation than simply averaging the metrics, showing the
effectiveness of the proposed evaluation method.",,cs.CV,['cs.CV'],http://arxiv.org/abs/2310.11440v1
9,An empirical connection between line-emitting regions and X-rays heating the accretion disc in BH-LMXB MAXI J1820$+$070,http://arxiv.org/pdf/2310.11438v1,"[arxiv.Result.Author('B. E. Tetarenko'), arxiv.Result.Author('A. W. Shaw'), arxiv.Result.Author('P. A. Charles')]",,2023-10-17 17:50:00+00:00,"The recurring transient outbursts in low-mass X-ray binaries (LMXBs) provide
ideal laboratories to study the accretion process. Unlike their supermassive
relatives, LMXBs are far too small and distant to be imaged directly.
Fortunately, phase-resolved spectroscopy can provide an alternative diagnostic
to study their highly complex, time-dependent accretion discs. The primary
spectral signature of LMXBs are strong, disc-formed emission lines detected at
optical wavelengths. The shape, profile, and appearance/disappearance of these
lines change throughout a binary orbit, and thus, can be used to trace how
matter in these discs behaves and evolves over time. By combining a
\textit{Swift} multi-wavelength monitoring campaign, phase-resolved
spectroscopy from the Gran Telescopio Canarias (GTC) and Liverpool Telescope,
and modern astrotomography techniques, we find a clear empirical connection
between the line emitting regions and physical properties of the X-rays heating
the disc in the black hole LMXB MAXI J1820+070 during its 2018 outburst. In
this paper, we show how these empirical correlations can be used as an
effective observational tool for understanding the geometry and structure of a
LMXB accretion disc and present further evidence for an irradiation-driven
warped accretion disc present in this system.",,astro-ph.HE,['astro-ph.HE'],http://arxiv.org/abs/2310.11438v1
